ig_media_id,data,tipo,tema,status,motivo,alvo,engajamento,curtidas,comentarios,legenda,permalink
17985751028920583,2025-12-24,REELS,Institucional / Agenda,avaliar,sem regra (revisar),,134,123,11,"FELIZ NATAL 🎁 ✨🎄 O Natal é tempo de sentir, agradecer e estar junto.",https://www.instagram.com/reel/DSpdWgmgM_n/
18003425057335075,2024-06-08,FEED,Institucional / Agenda,removido,fora de 2025-2026,,134,130,4,"Nosso pré-candidato a prefeito de Gravatal, Clei, está mais do que pre",https://www.instagram.com/p/C79lDH1Rd-6/
18400683538045004,2023-11-22,FEED,Institucional / Agenda,removido,fora de 2025-2026,,134,123,11,Essa é a felicidade de trabalhar com o que se gosta! 👊🏼,https://www.instagram.com/p/Cz9ghZ7OEJn/
18059783533772608,2025-01-28,REELS,Institucional / Agenda,avaliar,sem regra (revisar),,133,130,3,Precisamos ser ouvidos! 🗣️ A bancada do sul já destinou 5 milhões pro,https://www.instagram.com/reel/DFYhVV-yXc1/
18370127020075490,2023-12-08,FEED,Institucional / Agenda,removido,fora de 2025-2026,,133,133,0,Papai Noel encanta e Tubarão tá encantando mais ainda! Com uma caravan,https://www.instagram.com/p/C0nH6LpuTTQ/
17882406455882375,2023-09-23,FEED,Institucional / Agenda,removido,fora de 2025-2026,,133,126,7,Foto para eternizar o fusca e a infância das meninas ❤️ #fusca #latave,https://www.instagram.com/p/CxjElHsO_NX/
18008485297639004,2023-05-10,REELS,Institucional / Agenda,removido,fora de 2025-2026,,133,132,1,TODOS CONTRA A DENGUE! 🦟 Ações simples como manter bem tampados caixa,https://www.instagram.com/reel/CsFA20iJleX/
18110499196678145,2026-05-04,REELS,Institucional / Agenda,avaliar,sem regra (revisar),,132,111,21,ENERGIA QUE MOVE SANTA CATARINA ⚡ Hoje foi dia de reconhecer uma histó,https://www.instagram.com/reel/DX71SHmtdk6/
18090647506664109,2025-07-31,REELS,Institucional / Agenda,avaliar,sem regra (revisar),,132,120,12,MAIS DE 2 MIL KM só essa semana!🚙💨 Precisamos estar nas cidades pra ,https://www.instagram.com/reel/DMx4WykOV8G/
17912372448156314,2025-07-29,REELS,Obras e Entregas,aprovado,obra/entrega (direcionar p/ cidade),Grão-Pará,132,126,6,"PÉ NA ESTRADA! 🚙🙅‍♂️ Aqui em Grão-Pará não foi diferente, emenda, in",https://www.instagram.com/reel/DMsg6UbuqM5/
18072381070551116,2024-08-15,FEED,Institucional / Agenda,removido,fora de 2025-2026,,132,128,4,ISSO É POLÍTICA! 👊 É fundamental visitar a região e olhar nos olhos d,https://www.instagram.com/p/C-tPndwO2Ik/
18025551596497631,2024-05-06,REELS,Autismo / TEA,removido,fora de 2025-2026,,132,122,10,"Casa dos Autistas de Agrolândia! 🧩 Um trabalho lindo e emocionante, o",https://www.instagram.com/reel/C6pQ6rXuwqz/
18112332415617894,2025-12-25,FEED,Institucional / Agenda,avaliar,sem regra (revisar),,131,120,11,"Que o Natal renove a fé, fortaleça a esperança e encha nossos lares de",https://www.instagram.com/p/DSr_dCWAJJG/
18022054244716881,2025-11-14,FEED,Institucional / Agenda,avaliar,sem regra (revisar),,131,128,3,🌻 Você já deve ter visto esses cordões coloridos. Muito mais que aces,https://www.instagram.com/p/DRC2GzcAB4b/
18035415400979752,2024-06-24,FEED,Institucional / Agenda,removido,fora de 2025-2026,,131,125,6,Precisamos de atenção ao desenvolvimento das nossas cidades! 👊,https://www.instagram.com/p/C8mRCRXPxig/
18002728943238998,2024-03-17,REELS,Institucional / Agenda,removido,fora de 2025-2026,,131,124,7,Um pouco de eleições nesse bate-papo com a @unitvsc 🙌,https://www.instagram.com/reel/C4oYWzsOsS8/
18089194139530978,2026-07-09,REELS,Obras e Entregas,aprovado,obra/entrega (direcionar p/ cidade),Tubarão,130,106,24,"TUBARÃO EM OBRAS 🚧 Trabalho duro, resultado aparecendo e obras saindo",https://www.instagram.com/reel/DallnYmORzx/
18104084869477816,2025-06-23,REELS,Obras e Entregas,aprovado,obra/entrega (direcionar p/ cidade),cidade da obra,130,122,8,"Falou em buscar mais recursos pra nossa região, eu já tô pronto! 🛵",https://www.instagram.com/reel/DLQp3AFJ65n/
18063779623906883,2025-02-18,FEED,Institucional / Agenda,avaliar,sem regra (revisar),,130,125,5,COMPROMISSO COM O DESENVOLVIMENTO 💪 Ao lado do governador @jorginhome,https://www.instagram.com/p/DGOkMhzp_9h/
